user,role
MBEEKINK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
MBEEKINK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
MMATALYTSKI,PROFILE:sap.odc:Data_Catalog_User
MMATALYTSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
MMATALYTSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
MMATALYTSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
MMATALYTSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
MMATALYTSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
MMATALYTSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
MMATALYTSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
MMATALYTSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
NDUBOVIK,PROFILE:sap.odc:Data_Catalog_Administrator
NDUBOVIK,PROFILE:sap.odc:Data_Catalog_User
NDUBOVIK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
NDUBOVIK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
NDUBOVIK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
NDUBOVIK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
NDUBOVIK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
NDUBOVIK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
NDUBOVIK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
NDUBOVIK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
NDUBOVIK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
NDUBOVIK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
NDUBOVIK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
NDUBOVIK,PROFILE:sap.epm:Security_Administrator
NDUBOVIK,PROFILE:t.11:ZDS_ADMIN_Scope
NDUBOVIK,PROFILE:t.11:ZDS_CONSUMER
NDUBOVIK,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
NDUBOVIK,PROFILE:t.11:ZDS_DEVELOPER
NDUBOVIK,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
NDUBOVIK,PROFILE:t.11:ZDS_USERMANAGER
NDUBOVIK,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
NDUBOVIK,PROFILE:t.11:ZDS_ADMIN_TEST
OKLYSHKO,PROFILE:sap.odc:Data_Catalog_User
OKLYSHKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
OKLYSHKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
OKLYSHKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
OKLYSHKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
OKLYSHKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
OKLYSHKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
